chr,start,start_snpid,end,end_snpid,mex,nsnp,dis
1,40355622,SYN9128,40511560,PZE-101057000,0.218132850241547,9,155938
1,41469604,SYN29246,41964321,PZE-101058210,0.848790969899666,13,494717
1,42846502,SYN20757,43503480,SYN20593,1.24120380434783,32,656978
1,45004949,PZE-101061114,45115245,PZE-101061225,0.533384057971013,3,110296
1,46684873,PZE-101063527,46685564,PZE-101063539,0.256228260869565,2,691
1,47826025,PZE-101064790,47829728,PZE-101064766,0.648467391304345,2,3703
1,47989070,PZE-101064883,47993084,ZM013299-0478,0.369347826086957,3,4014
1,48505237,PZE-101065086,48547575,PZE-101065262,0.637266304347827,4,42338
1,51017284,ZM003329-0547,52090407,PZE-101068745,1.01110964083176,23,1073123
1,53174005,SYN3086,53422803,PZE-101070910,0.788450000000004,10,248798
1,53666269,PZE-101071282,53850163,PZE-101071373,0.64777391304348,5,183894
1,54186778,PZE-101071660,54603955,PZE-101072150,0.493650895140665,17,417177
1,55575435,PZE-101073032,55759948,PZE-101073078,0.38615217391304,2,184513
1,56221127,SYNGENTA15549,56225853,PZE-101073495,0.503703804347826,8,4726
1,56561450,PUT-163a-60351083-2647,56573528,SYN11005,0.446891304347824,5,12078
1,56892934,SYN37939,57349551,PZE-101074451,1.61429644268774,11,456617
1,57892223,PZE-101074651,58448040,PZE-101074929,1.15955335968379,11,555817
1,58452924,SYN25744,59507482,SYN25503,0.26858695652174,24,1054558
1,59766473,SYN25803,60148639,SYN15501,0.79439130434783,11,382166
1,62530745,SYN29228,62676291,SYN3529,0.21765217391304,3,145546
1,67258256,PZE-101082238,67533887,SYN11221,0.301173913043478,6,275631
1,68670617,SYN25793,69290260,PZE-101081863,0.38389130434783,21,619643
1,69838355,PZE-101082552,69889217,SYN35770,1.82771376811594,6,50862
1,70715868,PZE-101083051,72012732,PZE-101083913,0.60436956521739,26,1296864
1,72618185,PZE-101084186,72820226,PZE-101084361,0.275884057971017,6,202041
1,77146116,PZE-101086823,78988545,PZE-101087816,0.721058876811593,24,1842429
1,79715085,PZE-101088158,80663599,SYN6999,0.22165217391304,26,948514
1,81106413,SYN35629,81603669,SYN23174,0.558984472049693,7,497256
1,82510318,PZE-101090700,82580352,PZE-101090734,0.3559347826087,7,70034
1,84738135,PZE-101092276,84924114,PZE-101092483,0.544149068322981,7,185979
1,85716952,PZE-101093040,85835088,PZE-101093125,1.6040652173913,8,118136
1,86844203,PZE-101093764,87162735,PZE-101093863,0.779114130434785,4,318532
1,87981466,PZE-101097131,88014649,PZE-101097273,0.754715415019763,11,33183
1,88711777,PZE-101097716,90230085,PZE-101098774,1.57426832298137,35,1518308
1,91483978,PZE-101099549,91504795,PZE-101099581,0.631257246376813,6,20817
1,92218585,PZE-101094237,92246832,PZE-101094280,1.51313478260869,5,28247
1,92756783,PZE-101094707,93071406,PZE-101095031,0.762160079051383,11,314623
1,96081157,PZE-101100007,96623344,SYN5444,0.360956521739129,9,542187
1,97881742,PZE-101101031,98353328,PZE-101101316,0.234513833992095,11,471586
1,99664165,PZE-101101856,101780967,PZE-101102740,0.883214209968187,41,2116802
1,105679855,PZE-101104474,105818604,PZE-101104606,1.32312055335968,11,138749
1,116015358,PZE-101108723,116086290,PZE-101108865,0.227876811594203,9,70932
1,116767275,PZE-101109208,123759713,PZE-101112422,0.76710628019324,99,6992438
1,124138960,PZE-101112569,141534136,PZE-101117162,0.53346782608696,100,17395176
1,150682455,PZA03028.5,152089799,PZE-101122461,0.747537625418059,26,1407344
1,154153417,PZE-101123156,155004012,PZE-101123702,1.42815217391304,22,850595
1,155675478,SYN25353,156217012,PZE-101124424,0.354567632850242,9,541534
1,156960729,PZE-101124687,156997164,PZE-101124718,0.286184782608696,2,36435
1,159545297,PZE-101126132,160223650,PZE-101126489,0.58801690821256,9,678353
1,162427809,PZE-101127891,164556608,PZE-101129057,1.03980611045829,37,2128799
1,165405751,PZE-101129562,165408568,SYN29501,0.588826086956522,9,2817
1,170475870,PZE-101132120,170825358,PZE-101132569,0.21504347826087,13,349488
1,171939201,PZE-101132945,172021749,SYN25650,0.302184782608695,2,82548
1,172190334,SYN11483,172284467,PZE-101133216,0.495529891304351,8,94133
1,172940370,PZE-101133677,172947588,PZE-101133702,0.36979347826087,2,7218
1,173227101,PZE-101133891,173661199,SYN38863,0.541630434782613,10,434098
1,173992552,PZB00963.2,175292737,PZE-101135508,0.667682744565217,32,1300185
1,177685787,PZE-101137444,177685868,PZE-101137446,0.401782608695652,2,81
1,179342985,PZE-101138210,179884817,PZE-101139056,0.491960869565217,15,541832
1,180612182,PZE-101139847,180693924,PZE-101139993,1.96227717391304,4,81742
1,182289606,PZE-101141173,182294697,PZE-101141233,0.31355797101449,3,5091
1,183842089,SYN1742,184615641,PZE-101143236,0.216217391304348,16,773552
1,184700424,SYN3632,187193883,SYN3027,0.95917391304348,12,2493459
1,188015481,PZE-101144838,188083114,PUT-163a-13178383-177,0.848847826086957,7,67633
1,189585717,SYN28098,189641815,PZE-101146530,0.653569169960475,11,56098
1,190998267,SYN29733,191091858,SYN14208,0.299577294685993,9,93591
1,193247066,PZE-101149664,193321851,SYN35986,0.85019254658385,7,74785
1,193591740,PZE-101149961,193877500,PZE-101150277,0.39941304347826,12,285760
1,194455064,PZE-101150477,194674422,PZE-101150835,1.12307763975155,7,219358
1,195484495,PZE-101152052,195770152,PZE-101152364,0.734778985507247,12,285657
1,197858175,PZE-101154881,198192767,PZE-101154963,0.24728260869565,3,334592
1,198653310,PZE-101155676,198655438,PZE-101155685,0.711101449275363,3,2128
1,199726769,PZE-101157104,199741912,SYN26142,0.620677536231885,6,15143
1,199871129,SYN21424,199963599,PZE-101157488,1.06561956521739,2,92470
1,201868530,PZE-101159556,201872641,SYN38894,0.552681159420293,3,4111
1,202160819,PZE-101159840,202169254,PZE-101159930,0.26742028985507,3,8435
1,202919228,PZE-100001836,202998070,PZE-100001904,0.48660144927536,3,78842
1,203647359,PZE-101160941,204064104,PZE-101161396,0.512369565217388,4,416745
1,205186159,SYN34867,205412626,SYN10829,1.14797826086957,12,226467
1,205533776,PZE-101162348,205558576,PZE-101162356,0.48573913043478,2,24800
1,206124271,SYN14326,206266073,SYN20516,0.38373913043478,4,141802
1,206459390,PZE-101163181,206514625,PZE-101163301,2.5814347826087,3,55235
1,207127152,SYN21493,207372264,PZE-101164129,0.267515527950311,7,245112
1,207600263,PZE-101164344,207611833,PZE-101164389,0.338608695652174,4,11570
1,209182100,PZE-101166237,210408104,SYN14508,0.850361556064074,19,1226004
1,210707697,PZE-101167437,210789703,SYN28182,0.317427536231883,3,82006
1,210996629,PZE-101167577,211257338,PZE-101167756,0.385655279503106,7,260709
1,212059932,PZE-101168807,212532252,PZE-101169204,1.6005995423341,19,472320
1,212951968,PZE-101169429,213096535,PZE-101169609,1.1396149068323,14,144567
1,216695411,SYN28640,217181526,SYN17605,0.239,12,486115
1,217450963,PZE-101173784,217617575,PZE-101173929,0.692703804347826,8,166612
1,218800974,SYN31725,220828000,PZE-101176290,0.288349700149928,58,2027026
1,221369064,PZE-101176624,221785673,PZE-101176905,1.06859782608696,12,416609
1,222446833,SYN13006,222979756,PZE-101178021,0.511501086956522,20,532923
1,223319103,PZE-101178330,223400905,PZE-101178225,1.30085869565217,4,81802
1,225033350,PZB01979.2,225138023,PZE-101180929,0.56924901185771,11,104673
1,225482940,ZM006619-0620,225504214,PZE-101181049,0.806395652173916,5,21274
1,225866807,PZE-101181384,225883687,PZE-101181505,0.806402173913045,2,16880
1,228151671,SYN18165,228252624,SYN12952,0.279282608695652,6,100953
1,230717634,PZE-101185989,230720425,PZE-101186005,0.542108695652177,3,2791
1,230959029,PZE-101186536,232310757,PZE-101187227,0.32449604743083,22,1351728
1,232520712,SYN27669,232742916,PZE-101187743,0.278123641304348,16,222204
1,234900313,SYN3317,234941804,PZE-101189338,0.483123188405793,3,41491
1,235833955,PZE-101190026,235864222,PZE-101190037,1.40630434782609,2,30267
1,236915800,PZE-101190721,236953405,PZE-101190832,0.32965217391304,6,37605
1,237087198,PZE-101190927,237608710,PZE-101191386,0.38184510869565,8,521512
1,238750301,PZE-101192259,238752707,PZE-101192304,1.41343478260869,3,2406
1,239616009,PZE-101192859,240282219,PZE-101193425,0.581382608695651,15,666210
1,244071105,PZE-101196188,244157530,PZE-101196242,0.39432608695652,3,86425
1,244469276,PZE-101196421,244756064,PZE-101196704,0.454406521739132,10,286788
1,246811542,PZE-101198633,246820584,PZE-101198659,0.319065217391304,6,9042
1,247614969,PZE-101198839,248737375,PZE-101199598,0.655679347826087,24,1122406
1,251386221,SYN28220,251711469,PZE-101201972,0.315439130434784,5,325248
1,251986395,PZE-101201778,251995695,PZE-101201666,0.35284239130435,4,9300
1,253493820,PZE-101204633,253715394,PZE-101204975,0.304059006211181,7,221574
1,254094758,PUT-163a-148951459-517,254263888,PZE-101205609,0.548961956521739,8,169130
1,254534247,PZE-101205743,256466361,PZE-101207044,0.982928471248249,31,1932114
1,256515262,SYN32084,256797371,PZE-101207480,0.669670807453417,7,282109
1,257206089,PZE-101207892,257326157,SYN14563,0.282978260869567,3,120068
1,257458841,PZE-101208112,257974957,PZE-101208406,0.283204347826086,15,516116
1,259272600,PZE-101209983,259408630,PZE-101210179,1.18674456521739,12,136030
1,260520076,SYN25458,260684675,SYN15085,0.797630434782609,7,164599
1,260920359,SYN2267,262720351,PZA00709.19,1.12797554347826,40,1799992
1,263732110,PZE-101213494,263740719,PZE-101213558,0.380818840579713,3,8609
1,264094317,PZE-101213680,264167330,PZE-101213738,0.775633540372671,7,73013
1,265652447,PZD00084.2,266048142,PZE-101215416,0.380190711462451,22,395695
1,266094940,PZE-101215449,266095836,PZD00066.3,0.324097826086955,2,896
1,269218944,PZE-101218080,269353952,SYN25903,1.03151207729469,9,135008
1,270126883,PZE-101218835,270409892,PZE-101218966,0.598146376811593,15,283009
1,271025986,PZE-101219633,271126791,PZE-101219724,0.768461956521738,4,100805
1,271627282,PZE-101220098,271762969,PZE-101220221,0.670753623188403,3,135687
1,273675847,PZE-101222398,273693583,PZE-101222445,0.598526086956522,5,17736
1,274531710,SYN30528,275780292,PZE-101225496,1.28653859804792,49,1248582
1,276307975,SYN16701,276816355,PZE-101226725,0.723118577075099,22,508380
1,277849479,PUT-163a-93011727-4797,278607249,PZE-101228874,0.928207298136642,28,757770
1,279571516,SYN2725,279576503,SYN2728,0.24478260869565,6,4987
1,280218373,SYN27285,280342748,PZE-101231477,0.84217391304348,3,124375
1,280975319,SYN25211,281071509,SYN32976,1.13060869565217,6,96190
1,281334529,PZE-101233231,281516184,PZE-101233287,0.5020597826087,4,181655
1,281709021,PZA03188.3,281709732,PZE-101233861,1.15668115942029,3,711
1,282468793,SYN10352,282745085,SYN5995,0.530669960474307,11,276292
1,283363772,PZE-101235826,283389692,PZE-101235852,0.63008695652174,2,25920
1,284500666,PZE-101236600,285071669,SYN20058,1.21167984189723,11,571003
1,285640719,PZE-101237912,285782998,SYN443,1.12932608695652,5,142279
1,286326752,SYN32910,286359450,PZB01403.4,0.283478260869568,4,32698
1,286453013,PZE-101239020,286851312,SYN38914,0.445054347826086,16,398299
1,287718234,SYN37684,288394832,PZE-101241535,0.44887101449275,15,676598
1,290449014,PZE-101244291,290555098,SYN19016,0.277202898550727,3,106084
1,291789227,SYN27559,291863331,SYN27560,1.1225652173913,3,74104
1,292134984,SYN3286,292138226,PZE-101246418,0.42978260869565,2,3242
1,292796831,PUT-163a-33467364-2021,292796839,PUT-163a-33467364-2020,0.34545652173913,2,8
1,293519813,PZE-101248317,293628626,SYN38691,0.42526086956522,3,108813
1,293638311,SYN38692,293795952,PZA00235.9,0.4215652173913,4,157641
1,294728560,SYN31870,295067548,SYN16865,0.25252173913043,14,338988
1,295304944,SYN8230,295311591,SYN8237,1.34978260869565,10,6647
1,295762691,PZE-101251114,296003899,SYNGENTA12924,0.402659420289857,9,241208
1,296023133,SYN36179,296658750,SYN27361,0.557989648033127,21,635617
1,298332124,SYNGENTA11155,298879663,SYN16573,0.660178853754943,22,547539
1,298967104,PUT-163a-60399874-3008,298967713,SYN7988,0.57395652173913,3,609
1,299045712,SYN7987,299047644,SYN7985,0.806623188405797,6,1932
1,299122439,SYN38953,299125086,SYN38947,0.356054347826088,4,2647
1,299528185,PZB01937.2,299560371,PUT-163a-78092903-4261,1.6675900621118,7,32186
1,300072663,PZE-101256707,301275802,PZE-101257498,0.48561133069829,33,1203139
2,10232,SYN1722,1288990,SYN6180,1.26109217391304,50,1278758
2,2114624,SYN148,2120469,SYN146,0.48760869565217,6,5845
2,3614453,SYN2670,3614754,SYN2667,0.343536231884057,3,301
2,3735379,PZE-102007366,3739218,SYN9222,0.563826086956522,3,3839
2,4299784,SYN31108,4302909,SYN31118,0.50336956521739,3,3125
2,4365980,PZE-102009755,4371417,PZE-102009795,1.18053260869565,2,5437
2,4699070,SYN3554,4839270,SYN37569,0.82195652173913,6,140200
2,5379183,SYN10374,5379504,SYN10378,0.284983695652173,4,321
2,5459218,PZE-102011930,5506436,PZE-102012134,0.224681159420293,3,47218
2,5818698,SYN29492,5827148,SYN29498,0.983158102766799,11,8450
2,6176216,SYN7225,6474772,SYNGENTA1700,0.346119565217392,16,298556
2,6641268,PUT-163a-148972919-653,6641601,PUT-163a-29946131-1834,0.20128260869565,2,333
2,7950855,PZE-102017798,8293999,PZE-102018085,1.62788819875776,7,343144
2,8781646,PZE-102018300,8873169,SYN12998,0.63967391304348,13,91523
2,8910492,PUT-163a-60342470-2456,8920324,SYN12986,0.26378260869565,5,9832
2,9109659,PZE-102019299,9126561,SYN1141,1.86773913043478,12,16902
2,9985308,SYN11386,9986953,SYN11378,0.462788043478262,4,1645
2,10344138,SYN5848,10386100,SYN38158,1.23115217391304,3,41962
2,10519859,SYN30570,10520160,SYN30586,0.276739130434787,3,301
2,10603658,ZM002926-0696,10607539,SYN27866,0.429490338164251,9,3881
2,11984703,SYN7624,11985661,SYN7635,0.50833152173913,8,958
2,12350353,SYN36013,12352215,ZM013413-0669,0.25078260869565,3,1862
2,13850890,PZE-102029712,13864569,PZE-102029773,0.34349456521739,4,13679
2,14462712,SYN9584,14469306,PZE-102031002,0.30623913043478,2,6594
2,14799999,PZE-102031753,14836855,PZA01753.1,0.444778985507245,6,36856
2,15242742,PZE-102032511,15273241,SYN3312,0.483799999999996,5,30499
2,15892733,SYN14434,15995850,SYN7467,0.786229619565218,16,103117
2,17091639,PZE-102035948,17100186,PZE-102036006,0.995396739130435,4,8547
2,17435873,PZE-102036373,17544233,PZE-102036427,0.25284782608696,4,108360
2,18618444,PZE-102038457,18643963,PZE-102038582,0.579514492753622,6,25519
2,19254164,PZE-102039123,19282682,PZE-102039358,0.63078695652174,5,28518
2,19432056,PZE-102039583,19989478,PZE-102039927,2.13145652173913,10,557422
2,20536744,SYN9105,20793481,SYN30697,0.618171014492754,15,256737
2,23473079,PZE-102045516,24033371,PZE-102046696,0.664582298136646,14,560292
2,24558980,PZE-102046980,24559934,PZE-102046998,0.41671739130435,3,954
2,25304287,PZE-102047551,25310110,PZA-001755001,0.353902173913045,2,5823
2,25733764,PZE-102047663,26849841,SYN700,0.753937888198758,35,1116077
2,27052498,PZE-102048896,27053394,PZE-102048901,0.47514130434783,2,896
2,27482375,PZB02035.2,27482479,PZB02035.3,0.21497826086957,2,104
2,28309765,PZE-102050587,28563961,PZE-102050786,0.34141304347826,10,254196
2,28703513,SYN3933,29041311,PZE-102051452,1.23527445652174,8,337798
2,29227238,PZE-102051839,29524205,PZE-102052096,0.819482608695652,5,296967
2,32259201,SYN9760,33006611,PZE-102054921,0.694053511705686,13,747410
2,33464342,SYN2281,33765568,PZE-102056209,0.379787723785164,17,301226
2,34688541,PZE-102056752,34699461,PZE-102056713,0.226358695652175,4,10920
2,35271564,PZE-102056984,35272010,SYN5394,0.308141304347826,2,446
2,35319494,PZE-102057024,35483048,PZE-102057220,0.483300000000001,5,163554
2,36586856,SYN34242,36605493,SYN34227,0.556108695652175,10,18637
2,37046358,PZE-102058916,37051147,PZE-102058956,0.335641304347825,2,4789
2,41007815,SYN5860,41010158,PZE-102062629,0.24426086956522,3,2343
2,41300032,PZE-102062967,41775521,PZE-102063606,0.735015345268542,17,475489
2,42791912,PZA00226.6,43203856,PZE-102065188,0.758951086956523,12,411944
2,47364330,PZE-102069361,47365562,PZE-102069392,0.83357608695652,2,1232
2,48108026,PZE-102069907,48108160,PZE-102069908,1.05363043478261,2,134
2,48588699,PZE-102070420,48738479,PZE-102070496,1.22042857142857,14,149780
2,48928593,PZE-102070724,49729138,PZA03489.1,1.21284782608696,17,800545
2,51280136,SYN38709,52318107,SYN394,0.793536684782606,32,1037971
2,54926708,PZE-102074320,54968268,SYN23126,0.512817391304348,5,41560
2,55679576,SYN36680,55829631,PZE-102075412,1.50797204968944,7,150055
2,58763445,PZE-102076842,58766265,PZE-102076876,0.222423913043475,2,2820
2,59357377,PZE-102077123,60276380,PZE-102077620,1.49080837359098,27,919003
2,60656421,PZE-102077877,60665495,PZE-102077906,0.4285,2,9074
2,60874421,PZE-102078110,60875051,PZE-102078126,0.32532608695652,2,630
2,63372339,PZE-102079950,63944471,SYN14496,0.788429951690822,18,572132
2,63949812,PZE-102080336,64393073,PZE-102080632,1.16608074534161,14,443261
2,67149723,PZE-102081812,67542661,PZE-102081964,0.258256038647343,9,392938
2,69180126,PZE-102082911,80331730,PZE-102087084,1.28483920229968,121,11151604
2,85477179,PZE-103095150,104205558,PZE-102093254,0.957432787229576,207,18728379
2,107189348,PZE-102094213,109545781,PZE-102095556,0.31228260869565,33,2356433
2,118450007,PZE-102099996,118450115,PZE-102099997,0.31378260869565,2,108
2,118981561,PZE-102100180,120283817,PZE-102100681,2.78067391304348,13,1302256
2,120436565,PZE-102100760,126983509,PZE-102103212,2.13063111413044,96,6546944
2,127959743,PZE-102103687,131559285,PZE-102105456,1.15773217391304,75,3599542
2,134611189,PZE-102106504,140973183,PZE-102109589,0.859887826086952,75,6361994
2,141363433,PZE-102109721,141561790,PZE-102109861,0.31223913043478,5,198357
2,142532326,PZE-102110255,143431505,PZE-102110850,0.572658514492754,24,899179
2,148878787,SYN22871,149338757,PZE-102113818,0.24386956521739,9,459970
2,149785951,PUT-163a-4226318-2039,150227222,PZE-102114289,1.30413768115942,9,441271
2,151797551,PZE-102115210,153400906,PZE-102115940,0.659440711462449,22,1603355
2,153852007,PZE-102116113,153967493,PZE-102116215,0.337234299516909,9,115486
2,154602241,PZE-102116447,156209861,PZE-102117141,0.575091032608696,32,1607620
2,156726411,PZE-102117310,157358259,PZE-102117605,0.645687747035573,11,631848
2,158408759,PZE-102118282,160262306,PZE-102118927,1.09904347826087,26,1853547
2,160541812,PZE-102118979,165872485,SYN6931,0.739154925701708,79,5330673
2,167247232,PZE-102121475,168555051,PZE-102122092,0.469942455242967,17,1307819
2,170854144,PZE-102123437,170875721,SYN25968,0.329695652173913,3,21577
2,176451542,PUT-163a-71765208-3497,177499135,PZE-102127702,1.23148861283644,42,1047593
2,177647002,PZE-102127751,177874858,SYN33463,0.761173913043481,10,227856
2,180626735,PZE-102130434,180906049,PZE-102130760,0.522108695652175,5,279314
2,181424666,PZE-102131113,181544623,PZE-102131236,1.28674456521739,4,119957
2,182343469,PZE-102131962,182347126,PZE-102132005,1.45074347826087,5,3657
2,183184401,PZE-102132579,183408182,PZE-102132777,0.825859903381643,9,223781
2,184480649,PZE-102134204,184760284,PZE-102134499,0.390618357487924,9,279635
2,185379678,SYN1715,185645193,PZE-102136175,2.63173913043478,13,265515
2,186265441,PZE-102137410,186464021,PZE-102137628,0.369627329192544,7,198580
2,187368128,SYN28324,187881841,PZE-102139754,0.719168896321069,13,513713
2,188415949,SYNGENTA3163,188874833,SYN26577,0.394908695652174,15,458884
2,189224132,PZE-102141929,189275033,SYN7410,0.42154347826087,5,50901
2,189635143,PZE-102142740,189717808,PZE-102142917,0.463326086956522,3,82665
2,189937437,PZE-102143316,190024493,PZE-102143398,0.31346739130435,2,87056
2,190422041,PZE-102143712,190431483,PZE-102143736,0.917358695652175,2,9442
2,192453336,PZE-102145560,192581292,PZE-102145607,0.439157608695653,4,127956
2,193319543,SYNGENTA12112,193650032,PZE-102146567,0.527585812356976,19,330489
2,194037420,PZE-102147036,194043443,PZE-102147076,0.89138043478261,2,6023
2,195175487,PZE-102148412,195176974,PZE-102148410,0.241514492753623,3,1487
2,195714610,PZE-102148907,195716007,PZE-102148914,1.57328260869565,3,1397
2,196222019,SYN15388,196222087,PUT-163a-18163148-1243,0.305,2,68
2,196383782,PZE-102149655,196457774,PZE-102149768,0.354965217391306,5,73992
2,197381535,PZE-102150762,197624296,SYN1761,0.744001976284585,11,242761
2,197832799,PZE-102151305,198019990,SYN192,2.4230579710145,6,187191
2,198435382,SYN21754,198583708,SYN25689,3.493,6,148326
2,198717467,SYN15809,198722781,PZA02017.7,0.55878260869565,4,5314
2,198896536,PZE-102152341,198905161,SYN35301,1.06860869565217,5,8625
2,199653590,PZE-102153188,199668703,PZE-102153217,0.286021739130435,2,15113
2,202158213,SYN588,202311926,SYNGENTA3331,0.44627950310559,7,153713
2,202528563,PZE-102155107,203633237,PUT-163a-149111560-968,0.860594021739132,40,1104674
2,203844850,SYNGENTA11653,203900418,SYN39124,0.600210144927535,3,55568
2,204077837,PZE-102157010,204081371,PZE-102156959,0.95496739130435,2,3534
2,204170506,PZE-102157204,204338784,PZE-102157572,0.529293478260872,4,168278
2,206122992,PZE-102159951,206259739,SYN36741,1.02810869565217,8,136747
2,206629114,SYN29729,207160771,SYN5872,0.393745524296673,17,531657
2,207839969,SYN5620,207841753,PUT-163a-110504512-88,0.549753623188407,3,1784
2,208941503,PZE-102163599,208942469,PZE-102163621,0.538521739130435,2,966
2,209255034,SYN7498,209543656,PZE-102164997,0.206782608695652,10,288622
2,210031577,PZE-102165455,210393174,SYN24422,0.372521739130434,5,361597
2,210529271,ZM013948-0579,210531957,PZE-102166026,0.880445652173915,2,2686
2,210958981,PUT-163a-91055763-4742,211498056,SYN20955,0.732386645962732,14,539075
2,211773129,PZE-102167923,212407099,SYN34317,0.24028260869565,19,633970
2,214661090,PZE-102171277,214666548,SYN27803,0.46432608695652,2,5458
2,217225065,SYN31065,217332336,SYN31462,0.40591304347826,5,107271
2,218463546,SYN179,218465089,SYN178,0.646228260869566,2,1543
2,219661637,PZE-102177071,219728828,PZE-102176993,0.52536956521739,3,67191
2,220764915,PZE-102178194,222163749,SYN21841,0.25717391304348,20,1398834
2,223310722,SYN18301,223888876,SYN8667,0.552874999999999,4,578154
2,225530997,SYN28305,225651826,PZE-102183051,0.216965217391306,5,120829
2,225852525,PZE-102183282,226370656,PZE-102183628,0.73283574879227,9,518131
2,228035636,PZE-102184436,228175265,PZE-102184643,0.430206521739133,10,139629
2,229287540,PZE-102185494,229298876,PZE-102185564,0.239652173913045,2,11336
2,229574239,PZE-102185808,229821605,PZE-102186076,0.45217701863354,7,247366
2,229996082,SYN38986,230520837,SYN39026,0.58127639751553,7,524755
2,230866963,PZE-102186665,230934520,PZA02727.1,1.46234387351779,11,67557
2,231115198,PZE-102187119,231117913,PZE-102187115,1.00478260869566,2,2715
2,231296350,PZE-102187332,231660579,PZE-102187611,0.3415652173913,3,364229
2,232965098,PZE-102189370,233113914,PZE-102189702,0.34995,10,148816
2,233908519,SYN37311,234211936,PZA02170.1,0.728138586956524,8,303417
2,234718008,PZE-102192366,234723523,SYN6446,0.389649068322982,7,5515
2,235768324,PUT-163a-110194326-44,235783831,PZE-102193286,0.5635,4,15507
3,1535911,PZE-103000858,1602872,PZE-103001177,0.834311594202897,9,66961
3,2445009,SYN39153,2451412,PZE-103003246,0.456949275362319,9,6403
3,2628040,PZE-103003580,2783611,SYN10209,0.476869565217394,7,155571
3,3107023,SYN34567,3311084,SYN34622,0.65882608695652,8,204061
3,3835786,PZE-103006822,3885697,SYNGENTA13501,3.53104347826087,10,49911
3,4345305,SYNGENTA14279,4444062,PZE-103007776,0.95941304347826,7,98757
3,4679410,SYN5649,4680684,PZE-103008499,0.631210144927536,3,1274
3,4883149,SYN28478,4896318,PZE-103009187,0.930978260869565,9,13169
3,5433765,SYN7900,5584464,SYN31027,0.639421404682278,13,150699
3,5852699,SYNGENTA17024,5948485,PZE-103011490,0.795478260869563,3,95786
3,6796013,PZE-103013156,6802461,PZE-103013135,0.78840217391304,2,6448
3,6937795,PZE-103013339,6955469,PZE-103013405,0.37066304347826,2,17674
3,9044495,SYN13696,9067379,SYN13699,0.2456847826087,2,22884
